price,number_of_rooms,address,canton,property_type,floor,year_category
"CHF 1,295,000.–",5.5 rooms,1302 Vufflens-la-Ville,vaud,Apartment,noteg,0-1919
"CHF 740,000.–",6 rooms,1522 Lucens,vaud,Apartment,noteg,0-1919
"CHF 960,000.–",3.5 rooms,1170 Aubonne,vaud,Apartment,noteg,0-1919
"CHF 1,990,000.–",6.5 rooms,1800 Vevey,vaud,Apartment,noteg,0-1919
"CHF 1,190,000.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 420,000.–",5.5 rooms,1880 Bex,vaud,Apartment,noteg,0-1919
"CHF 1,500,000.–",4.5 rooms,1800 Vevey,vaud,Apartment,noteg,0-1919
"CHF 495,000.–",2.5 rooms,1880 Bex,vaud,Apartment,noteg,0-1919
"CHF 2,590,000.–",5.5 rooms,"Pl. de la Cathédrale, 1005 Lausanne",vaud,Apartment,noteg,0-1919
"CHF 698,000.–",3.5 rooms,1008 Prilly,vaud,Apartment,noteg,0-1919
"CHF 1,280,000.–",3.5 rooms,1185 Mont-sur-Rolle,vaud,Apartment,noteg,0-1919
"CHF 325,000.–",2.5 rooms,1515 Villars-le-Comte,vaud,Apartment,noteg,0-1919
"CHF 2,395,000.–",5.5 rooms,1006 Lausanne,vaud,Apartment,noteg,0-1919
"CHF 310,000.–",2 rooms,1515 Villars-le-Comte,vaud,Apartment,noteg,0-1919
"CHF 845,000.–",3.5 rooms,1580 Avenches,vaud,Apartment,noteg,0-1919
"CHF 1,120,000.–",5.5 rooms,1023 Crissier,vaud,Apartment,noteg,0-1919
"CHF 550,000.–",4.5 rooms,1854 Leysin,vaud,Apartment,noteg,0-1919
"CHF 1,250,000.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,590,000.–",5.5 rooms,1005 Lausanne,vaud,Apartment,noteg,0-1919
"CHF 490,000.–",2 rooms,1884 Villars-sur-Ollon,vaud,Apartment,noteg,0-1919
"CHF 310,000.–",2.5 rooms,"1, 1522 Lucens",vaud,Apartment,noteg,0-1919
"CHF 3,400,000.–",5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 990,000.–",4.5 rooms,1816 Chailly-Montreux,vaud,Apartment,noteg,0-1919
"CHF 720,000.–",5.5 rooms,"Grand-Rue 24, 1530 Payerne",vaud,Apartment,noteg,0-1919
