price,number_of_rooms,square_meters,address,canton,property_type,floor,year_category
"CHF 2,690,000.–",6 rooms,155m²,1009 Pully,vaud,Apartment,eg,2011-2015
"CHF 1,690,000.–",5.5 rooms,210m²,1038 Bercher,vaud,Apartment,eg,2011-2015
"CHF 1,400,000.–",4.5 rooms,111m²,"Route de la Feuillère 23, 1010 Lausanne",vaud,Apartment,eg,2011-2015
"CHF 665,000.–",3.5 rooms,124m²,1509 Vucherens,vaud,Apartment,eg,2011-2015
"CHF 1,150,000.–",5.5 rooms,115m²,1041 Poliez-Pittet,vaud,Apartment,eg,2011-2015
"CHF 560,000.–",3.5 rooms,84m²,1522 Lucens,vaud,Apartment,eg,2011-2015
"CHF 445,000.–",3.5 rooms,90m²,1862 Les Mosses,vaud,Apartment,eg,2011-2015
"CHF 1,690,000.–",5.5 rooms,158m²,1012 Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,490,000.–",4.5 rooms,156m²,1660 Château-d'Oex,vaud,Apartment,eg,2011-2015
"CHF 445,000.–",3.5 rooms,90m²,1862 Les Mosses,vaud,Apartment,eg,2011-2015
"CHF 825,000.–",2.5 rooms,72m²,1010 Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,690,000.–",4.5 rooms,152m²,1260 Nyon,vaud,Apartment,eg,2011-2015
"CHF 890,000.–",4 rooms,117m²,1264 St-Cergue,vaud,Apartment,eg,2011-2015
"CHF 850,000.–",3.5 rooms,87m²,1276 Gingins,vaud,Apartment,eg,2016-2024
"CHF 850,000.–",2.5 rooms,41m²,1009 Pully,vaud,Apartment,eg,2016-2024
"CHF 1,120,000.–",3.5 rooms,77m²,1820 Montreux,vaud,Apartment,eg,2016-2024
"CHF 1,915,000.–",4.5 rooms,127m²,1010 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 605,000.–",4.5 rooms,110m²,"Route de Lucens 2, 1682 Prévonloup",vaud,Apartment,eg,2016-2024
"CHF 1,720,000.–",4.5 rooms,117m²,1012 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 1,120,000.–",4.5 rooms,115m²,1884 Villars-sur-Ollon,vaud,Apartment,eg,2016-2024
"CHF 1,230,000.–",3.5 rooms,87m²,1814 La Tour-de-Peilz,vaud,Apartment,eg,2016-2024
"CHF 590,000.–",2.5 rooms,43m²,1884 Villars-sur-Ollon,vaud,Apartment,eg,2016-2024
"CHF 498,000.–",2.5 rooms,44m²,"Rue d'orbe 75, 1400 Yverdon-les-Bains",vaud,Apartment,eg,2016-2024
"CHF 590,000.–",1.5 rooms,43m²,1884 Villars-sur-Ollon,vaud,Apartment,eg,2016-2024
"CHF 530,000.–",2.5 rooms,44m²,"Rue d'orbe 75, 1400 Yverdon-les-Bains",vaud,Apartment,eg,2016-2024
"CHF 1,190,000.–",3.5 rooms,83m²,1010 Lausanne,vaud,Apartment,eg,2016-2024
