"price","number_of_rooms","address","canton","property_type","floor","year_category","Impôt cantonal_impots","Impôt communal_impots","Impôt paroissial Evang. / réform_impots","Impôt paroissial Kath. / cath.rom_impots"
2152980,55,"1110 Morges","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
1142940,35,"1522 Lucens","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
7708200,45,"1816 Chailly-Montreux","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
3980000,12,"1000 Lausanne","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
3980000,12,"1131 Tolochenaz","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
385000,7,"Rue du Petit-Montreux 7, 1450 Ste-Croix","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
1290000,65,"1807 Blonay","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
2800000,7,"1660 Château-dRx","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
4900000,12,"1427 Bonvillars","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
5700000,10,"1820 Montreux","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
1300000,65,"1523 Granges-près-Marnand","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
3360000,14,"1268 Burtigny","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
2990000,11,"1342 Le Pont","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
3750000,10,"Villars-sous-Yens, 1168 Villars-sous-Yens","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
3750000,10,"A Villars-sous-Yens, 1168 Villars-sous-Yens","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
1250000,75,"Chavornay, 1373 Chavornay","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
1250000,75,"A Chavornay, 1373 Chavornay","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
2490000,75,"1297 Founex","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
2970000,85,"1090 La Croix (Lutry)","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
2990000,125,"1273 Arzier-Le Muids","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
2250000,95,"1020 Renens VD","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
3090000,11,"1844 Villeneuve VD","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
3090000,11,"1880 Bex","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
6880000,10,"1815 Clarens","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
878000,6,"Correvon, 1410 Correvon","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
7500000,10,"1824 Caux","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
8500000,115,"1814 La Tour-de-Peilz","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
1890000,65,"1188 Gimel","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
7500000,10,"1824 Caux","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
1300000,85,"1070 Puidoux","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
2390000,10,"1170 Aubonne","Vaud","Villa","","0-1919","1.55",0.785,NA,NA
3442110,55,"1268 Begnins","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
2059950,45,"1020 Renens VD","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
3442110,55,"1268 Begnins","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
2246010,3,"1110 Morges","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
2059950,45,"1020 Renens VD","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
8239800,7,"1008 Jouxtens-Mézery","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
7841100,65,"1012 Lausanne","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
930300,45,"1522 Lucens","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
1329000,55,"1400 Yverdon-les-Bains","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
2246010,3,"1110 Morges","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
4518600,75,"1820 Montreux","Vaud","Villa","","1919-1945","1.55",0.785,NA,NA
1275000,9,"Chemin de Valacrêt 5, 1510 Moudon","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
2350000,55,"1800 Vevey","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
4500000,105,"1066 Epalinges","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
4500000,105,"1066 Epalinges","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
2850000,55,"1025 St-Sulpice VD","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
850000,35,"1033 Cheseaux-sur-Lausanne","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
2490000,7,"1268 Begnins","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
2490000,7,"1260 Nyon","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
1490000,65,"1844 Villeneuve VD","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
2250000,65,"1094 Paudex","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
2500000,8,"1095 Lutry","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
2680000,65,"1820 Montreux","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
1840000,65,"1804 Corsier-sur-Vevey","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
1650000,55,"1182 Gilly","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
1690000,8,"1820 Montreux","Vaud","Villa","","1946-1960","1.55",0.785,NA,NA
4900000,75,"Chemin de la Plantaz 28, 1024 Ecublens","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
3950000,75,"1165 Allaman","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
